generation,N_shifts,logPrior,logLik,eventRate,acceptRate
45300000,501,2783.1,-59951.4,473.394,0.425
45350000,439,2426.21,-59962.1,427.563,0.382
45400000,443,2455.62,-59970.2,433.537,0.398
45450000,459,2524.09,-59955,463.539,0.408
45500000,464,2573.41,-59978.4,432.824,0.407
45550000,460,2528.64,-60033.9,442.365,0.414
45600000,461,2562.01,-60013.6,453.485,0.407
45650000,456,2549.33,-60039.5,387.705,0.384
45700000,451,2513.08,-60004.5,463.098,0.424
45750000,453,2476.13,-60035.7,417.601,0.397
45800000,440,2445.64,-60054.6,455.731,0.377
45850000,430,2401.2,-60014.3,402.465,0.395
45900000,420,2320.45,-59992.4,435.778,0.389
45950000,410,2263.82,-59977.6,406.263,0.377
46000000,416,2299.19,-60016.5,386.794,0.38
46050000,466,2576.86,-59986.3,426.323,0.379
46100000,419,2326.63,-60002.8,427.583,0.392
46150000,449,2456.92,-60006.6,395.038,0.395382
46200000,460,2521.44,-60011.2,460.024,0.389333
46250000,463,2593.44,-60009.7,489.305,0.383
46300000,436,2420.96,-60023,436.527,0.383
46350000,436,2424.36,-60005.8,431.505,0.382
46400000,456,2533.29,-60009.7,453.955,0.386
46450000,434,2392.12,-59996.9,425.304,0.401
46500000,410,2283.41,-60013.3,404.281,0.414
46550000,400,2250.89,-60066.9,373.025,0.393
46600000,412,2312.55,-59996.3,417.404,0.41
46650000,448,2489.64,-60006.1,401.519,0.423
46700000,443,2482.11,-60012.5,380.917,0.39
46750000,445,2462.77,-60002.7,419.53,0.394
46800000,442,2408.12,-59993.1,406.227,0.408
46850000,443,2419.16,-59980.9,415.359,0.389
46900000,460,2522.7,-59951.5,444.282,0.404
46950000,453,2511.28,-59992.1,422.794,0.389
47000000,457,2504.05,-59971.9,472.376,0.394
47050000,422,2320.23,-60014.1,447.865,0.415
47100000,462,2527.33,-59992.8,451.873,0.376
47150000,457,2500.26,-59962.6,435.322,0.376
47200000,488,2676.08,-59958.6,487.745,0.425
47250000,470,2594.25,-59998.5,472.439,0.391
47300000,445,2416.94,-59968.7,391.724,0.383
47350000,442,2392.88,-60004,455.201,0.388
47400000,426,2339.31,-60007.7,434.218,0.39
47450000,443,2416.11,-60041,463.576,0.414
47500000,448,2506.43,-60031.7,425.959,0.42
47550000,444,2446.4,-60028.9,452.997,0.403
47600000,463,2558.47,-59991.8,442.378,0.39
47650000,481,2607.98,-60052.9,467.196,0.402
47700000,482,2611.52,-59985.6,446.367,0.388
47750000,468,2537.64,-60004.6,479.232,0.406
47800000,497,2737.4,-59969.4,488.055,0.394
47850000,503,2743.41,-60004.4,488.529,0.413
47900000,522,2870.05,-59933.4,575.327,0.41
47950000,508,2798.98,-59949.2,515.421,0.413
48000000,494,2683.6,-59958.2,508.341,0.414
48050000,501,2781.24,-59946.4,515.931,0.413
48100000,510,2826.53,-60006.5,485.793,0.409
48150000,524,2882.41,-60019.3,536.442,0.391
48200000,514,2759.81,-59996.4,501.519,0.4
48250000,519,2854.52,-59947.2,515.93,0.402
48300000,487,2705.19,-59984,484.033,0.428
48350000,491,2670.01,-59941.8,484.531,0.395
48400000,481,2632.8,-60005.3,479.273,0.389
48450000,463,2559.15,-60035.9,471.436,0.407
48500000,466,2543.41,-60035.2,458.645,0.387
48550000,435,2357.16,-60024.7,444.325,0.39
48600000,432,2391.39,-59995,414.329,0.399
48650000,416,2254.83,-60043.7,422.672,0.428
48700000,418,2294.51,-60001.7,400.247,0.358
48750000,442,2412.55,-60013.1,453.135,0.402
48800000,488,2677.46,-59991,470.064,0.419
48850000,488,2708.01,-59988.5,412.531,0.413
48900000,510,2845.37,-59993.4,502.788,0.406
48950000,498,2771.31,-59950.8,511.799,0.389
49000000,494,2759.83,-59998.2,539.462,0.41
49050000,499,2711.4,-59986.2,483.841,0.378
49100000,496,2779.66,-59945.9,457.688,0.419
49150000,519,2891.08,-59916.2,523.406,0.39
49200000,502,2751.8,-59957.7,477.969,0.439
49250000,529,2977.01,-59949.2,502.716,0.401
49300000,535,2956.25,-59904.9,521.667,0.393
49350000,516,2826.73,-59964.2,516.373,0.409
49400000,511,2832.58,-59974.6,542.469,0.399
49450000,488,2693.2,-59987,454.27,0.424
49500000,472,2570,-59926,475.763,0.389
49550000,408,2254.29,-60064.8,389.713,0.38
49600000,483,2668.21,-59970.2,547.389,0.408
49650000,484,2670.49,-60015.2,513.055,0.438
49700000,497,2738.66,-59963.5,506.021,0.391
49750000,513,2796.92,-59984,487.487,0.419
49800000,484,2622.3,-59949.9,478.832,0.382
49850000,479,2614.74,-59953.9,460.868,0.378
49900000,477,2631.58,-59952.2,460.115,0.396
49950000,456,2445.97,-59896.1,412.702,0.371
